_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,OBJECTID,GEO_ID,NODE_ID,MI_PRINX,geometry
50,5180,WESTON RD,None,COULTER AVE,None,None,None,2593,14627961,13457738,2593,"{""coordinates"": [[-79.52832000574739, 43.7045450038782]], ""type"": ""MultiPoint""}"
51,5181,WESTON RD,None,DENNIS AVE,None,None,None,2594,20112929,20112930,2594,"{""coordinates"": [[-79.48544699694519, 43.68496800419238]], ""type"": ""MultiPoint""}"
52,5186,WOODBINE AVE,None,MILVERTON BLVD,None,None,None,2595,9445986,13459937,2595,"{""coordinates"": [[-79.31418300609097, 43.68889199901795]], ""type"": ""MultiPoint""}"
53,5187,WOODBINE AVE,None,PLAINS RD,None,None,None,2596,6620147,13458249,2596,"{""coordinates"": [[-79.31822900332288, 43.698218000025555]], ""type"": ""MultiPoint""}"
54,5192,BRIDLETOWNE CRCL,145m NORTH OF,TIMBERBANK BLVD,None,None,TIMOTHY EATON BUSISNESS & TECH SCHOOL,2597,30104745,,2597,"{""coordinates"": [[-79.3120590033282, 43.79364199814765]], ""type"": ""MultiPoint""}"
55,5193,EVANS AVE,None,CARNARVON AVE,None,None,None,2598,913499,13469816,2598,"{""coordinates"": [[-79.50374799677125, 43.620254003396035]], ""type"": ""MultiPoint""}"
56,5194,JOHN GARLAND BLVD,25M WEST OF,FOUR LEAF DR,None,None,ST DOROTHY CATHOLIC SCHOOL,2599,907312,13453634,2599,"{""coordinates"": [[-79.59106300010995, 43.73177199566273]], ""type"": ""MultiPoint""}"
57,5196,BENBOW RD,None,WINNIPEG RD,None,None,VALLEYFIELD JR SCHOOL,2600,908787,13459661,2600,"{""coordinates"": [[-79.53915699654685, 43.693623004448874]], ""type"": ""MultiPoint""}"
58,5197,BENNETT RD,70m SOUTH OF,DUNSTALL CRES,None,None,WILLIAM G MILLER JR PUBLIC SCHOOL,2601,108162,,2601,"{""coordinates"": [[-79.16475200152531, 43.76914499896372]], ""type"": ""MultiPoint""}"
59,5198,DUNDAS ST W,60m NORTH OF,GLENLAKE AVE,None,None,None,2602,30090627,,2602,"{""coordinates"": [[-79.45390600169263, 43.66038799764446]], ""type"": ""MultiPoint""}"
