,datetime,Time,Vehicle,Gap,Headway,Schedule,Destination,day,day of the week,stop,stopID,Riders after stop,sch_adherence,bunched_or_gapped,mins delayed,bunched,gapped,morning_peak,midday,afternoon_peak,early_eve,late_eve,overnight,morning_peak_bunches,midday_bunches,afternoon_peak_bunches,early_eve_bunches,late_eve_bunches,morning_peak_gaps,midday_gaps,afternoon_peak_gaps,early_eve_gaps,late_eve_gaps,bound,bound_ordinal,_row_id,cond_sum,prev3hr_delays,prev_bunches
758293,2025-12-02 13:45:49,0 days 13:45:49,4427.0,,10:00,Scheduled at 1:45:49PM,West to High Park,2025-12-02,1,Howard Park Ave at Indian Rd,971,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,57.0,758293,1.0,67.96666666666667,0.0
758294,2025-12-02 13:46:29,0 days 13:46:29,4608.0,0 days 00:10:37,10:00,2:20 ahead of 1:48:49PM,West to High Park,2025-12-02,1,Woodfield Rd,11337,,-2.333333333333333,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,13.0,758294,4.0,164.46666666666664,0.0
758295,2025-12-02 13:46:32,0 days 13:46:32,4427.0,,10:00,Scheduled at 1:46:32PM,West to High Park,2025-12-02,1,Howard Park Ave at Parkside Dr,8107,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,58.0,758295,2.0,107.41666666666664,0.0
758296,2025-12-02 13:46:37,0 days 13:46:37,4400.0,0 days 00:02:42,10:00,4:41 behind 1:41:56PM,West to High Park,2025-12-02,1,St Matthews Rd,1447,,4.683333333333334,0,4.683333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,24.0,758296,0.0,0.0,0.0
758297,2025-12-02 13:47:24,0 days 13:47:24,4400.0,0 days 00:01:57,10:00,3:41 behind 1:43:43PM,West to High Park,2025-12-02,1,River St,10648,,3.683333333333333,-1,3.683333333333333,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,W,25.0,758297,3.0,162.46666666666667,0.0
758298,2025-12-02 13:47:48,0 days 13:47:48,4432.0,0 days 00:10:18,10:00,0:56 ahead of 1:48:44PM,West to High Park,2025-12-02,1,Main St at Gerrard St East,4563,,-0.9333333333333332,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,2.0,758298,0.0,2.65,0.0
758299,2025-12-02 13:48:23,0 days 13:48:23,4485.0,0 days 00:20:44,10:00,11:34 behind 1:36:49PM,West to High Park,2025-12-02,1,Parliament St,10427,,11.566666666666666,1,11.566666666666666,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,28.0,758299,7.0,315.7166666666667,0.0
758300,2025-12-02 13:48:59,0 days 13:48:59,4608.0,0 days 00:11:45,10:00,2:41 ahead of 1:51:40PM,West to High Park,2025-12-02,1,Prust Ave,5053,,-2.683333333333333,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,15.0,758300,4.0,201.06666666666663,0.0
758301,2025-12-02 13:49:27,0 days 13:49:27,4654.0,0 days 00:02:50,10:00,2:35 ahead of 1:52:02PM,West to High Park,2025-12-02,1,St Matthews Rd,1447,,-2.583333333333333,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,24.0,758301,0.0,0.0,0.0
758302,2025-12-02 13:49:28,0 days 13:49:28,4485.0,0 days 00:20:11,10:00,11:00 behind 1:38:28PM,West to High Park,2025-12-02,1,Parliament St at Carlton St,4615,,11.0,1,11.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,29.0,758302,12.0,493.36666666666673,0.0
758303,2025-12-02 13:50:32,0 days 13:50:32,4654.0,0 days 00:03:08,10:00,3:08 ahead of 1:53:40PM,West to High Park,2025-12-02,1,River St,10648,,-3.1333333333333333,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,25.0,758303,3.0,162.46666666666667,0.0
758304,2025-12-02 13:50:36,0 days 13:50:36,4400.0,0 days 00:02:13,10:00,3:47 behind 1:46:49PM,West to High Park,2025-12-02,1,Parliament St,10427,,3.783333333333333,0,3.783333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,28.0,758304,7.0,315.7166666666667,0.0
758305,2025-12-02 13:52:34,0 days 13:52:34,4400.0,0 days 00:03:06,10:00,4:06 behind 1:48:28PM,West to High Park,2025-12-02,1,Parliament St at Carlton St,4615,,4.1,0,4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,29.0,758305,12.0,497.1500000000001,0.0
